epoch,accuracy,loss,val_accuracy,val_loss
0,0.5622583,1.5349425173527562,0.5992529392242432,1.4053121431171893
1,0.5843817,1.4491314029344358,0.6043701171875,1.382429609131068
2,0.5876532,1.4339041429408825,0.6052539348602295,1.3698839392885567
3,0.5899835,1.4252927036117762,0.6060009598731995,1.3759113834798335
4,0.59018797,1.4195628822268918,0.6079882979393005,1.3504295033589004
5,0.5910577,1.4137216778239234,0.6072558760643005,1.356714415755123
6,0.5913916,1.4061394876032136,0.6062597632408142,1.3481550804153084
7,0.5922211,1.4015513746743091,0.6075683832168579,1.3385053352825345
8,0.593092,1.3981123300571925,0.6085107326507568,1.3387787863984704
9,0.5932196,1.3962387878354638,0.6113916039466858,1.3337581798806786
10,0.59354,1.393445139268879,0.6085302829742432,1.3380539444275201
11,0.59365356,1.3924474085657856,0.6080859303474426,1.331386156268418
12,0.59423155,1.3907070489739999,0.6104540824890137,1.3314421744272114
13,0.5944745,1.3893448497215286,0.6147558689117432,1.3197517483308912
14,0.5949524,1.3877697962289677,0.6082226634025574,1.3353135540895165
15,0.59508055,1.3871094313706271,0.6066552996635437,1.3356559345498682
16,0.59503055,1.3856319353170692,0.6129443645477295,1.330568331591785
17,0.59479856,1.3852492025098764,0.6112158298492432,1.328569578435272
18,0.5948175,1.3848560974770225,0.6096532940864563,1.3245600732415914
19,0.5952173,1.3841974769160152,0.6129980683326721,1.3207145068608224
20,0.59542966,1.3841764875687659,0.6125586032867432,1.3270739832893015
21,0.5956311,1.3836968877073377,0.6112450957298279,1.3284889771789312
22,0.5954224,1.3819372447533533,0.6113818287849426,1.3281235007941723
23,0.5959027,1.3818530487688259,0.6125878691673279,1.3199260296300053
24,0.5962946,1.3808591777528636,0.6104394793510437,1.3240166228823365
25,0.59579283,1.3805758225079625,0.6134863495826721,1.3181955337151885
26,0.5957806,1.3808976481971331,0.6104199290275574,1.3312168187089264
27,0.59600645,1.3808595319720915,0.6114208698272705,1.325421053059399
28,0.59618163,1.378827170925215,0.6148340106010437,1.318383122049272
29,0.5961377,1.3797270902409218,0.608154296875,1.3280046328157187
30,0.59610903,1.3784789621224627,0.6085888743400574,1.3190258039906622
31,0.59600645,1.3782800989062525,0.6111523509025574,1.324359162338078
32,0.5962042,1.3787216348806397,0.6036962866783142,1.339437227882445
